,molecule_chembl_id,IC50,units,smiles,pIC50
0,CHEMBL68920,41.0,nM,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,7.3872161432802645
1,CHEMBL69960,170.0,nM,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.769551078621726
2,CHEMBL137635,9300.0,nM,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,5.031517051446065
3,CHEMBL306988,500000.0,nM,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,3.3010299956639813
4,CHEMBL66879,3000000.0,nM,O=C(O)/C=C/c1ccc(O)cc1,2.5228787452803374
5,CHEMBL77085,96000.0,nM,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],4.017728766960432
6,CHEMBL443268,5310.0,nM,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.274905478918531
7,CHEMBL76979,264000.0,nM,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,3.5783960731301687
8,CHEMBL76589,125.0,nM,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,6.903089986991944
9,CHEMBL76904,35000.0,nM,N#CC(C#N)=Cc1ccc(O)c(O)c1,4.455931955649724
10,CHEMBL1009,900000.0,nM,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,3.0457574905606752
11,CHEMBL304271,0.45,nM,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,9.346787486224656
12,CHEMBL296407,10000.0,nM,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,5.0
13,CHEMBL309625,60000.0,nM,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,4.221848749616356
14,CHEMBL77825,600000.0,nM,COc1ccc(NN=C(C#N)C#N)cc1,3.221848749616356
15,CHEMBL421877,850000.0,nM,COc1cc(C=C(C#N)C#N)cc(OC)c1O,3.070581074285707
16,CHEMBL310798,3000.0,nM,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,5.522878745280337
17,CHEMBL135592,8000.0,nM,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,5.096910013008056
18,CHEMBL309866,1300000.0,nM,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,2.886056647693163
19,CHEMBL77381,1360000.0,nM,N#C/C(=C/c1ccc[nH]1)C(=O)O,2.8664610916297826
20,CHEMBL76602,165000.0,nM,N#C/C(=C\c1ccc(O)cc1)C(=O)O,3.7825160557860937
21,CHEMBL77737,250000.0,nM,N#CC(C#N)=Cc1ccncc1,3.6020599913279625
22,CHEMBL308134,125000.0,nM,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,3.9030899869919438
