,activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,relation,standard_units,standard_value,target_chembl_id,target_organism,type,units,value
0,32260,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL68920,=,nM,41.0,CHEMBL203,Homo sapiens,IC50,uM,0.041
1,32267,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL69960,=,nM,170.0,CHEMBL203,Homo sapiens,IC50,uM,0.17
2,32680,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL137635,=,nM,9300.0,CHEMBL203,Homo sapiens,IC50,uM,9.3
3,32770,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL306988,=,nM,500000.0,CHEMBL203,Homo sapiens,IC50,uM,500.0
4,32772,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL66879,=,nM,3000000.0,CHEMBL203,Homo sapiens,IC50,uM,3000.0
5,32780,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL77085,=,nM,96000.0,CHEMBL203,Homo sapiens,IC50,uM,96.0
6,33406,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL443268,=,nM,5310.0,CHEMBL203,Homo sapiens,IC50,uM,5.31
7,34039,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL76979,=,nM,264000.0,CHEMBL203,Homo sapiens,IC50,uM,264.0
8,34041,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL76589,=,nM,125.0,CHEMBL203,Homo sapiens,IC50,uM,0.125
9,34049,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL76904,=,nM,35000.0,CHEMBL203,Homo sapiens,IC50,uM,35.0
10,34051,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL1009,=,nM,900000.0,CHEMBL203,Homo sapiens,IC50,uM,900.0
11,34669,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL304271,=,nM,0.45,CHEMBL203,Homo sapiens,IC50,uM,0.00045
12,35294,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL296407,=,nM,10000.0,CHEMBL203,Homo sapiens,IC50,uM,10.0
13,35296,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL309625,=,nM,60000.0,CHEMBL203,Homo sapiens,IC50,uM,60.0
14,35297,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL77825,=,nM,600000.0,CHEMBL203,Homo sapiens,IC50,uM,600.0
15,35301,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL421877,=,nM,850000.0,CHEMBL203,Homo sapiens,IC50,uM,850.0
16,36518,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL310798,=,nM,3000.0,CHEMBL203,Homo sapiens,IC50,uM,3.0
17,37510,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL135592,=,nM,8000.0,CHEMBL203,Homo sapiens,IC50,uM,8.0
