,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hbd,n_hba,logp,passed,MACCS_clusters,ECFP4_clusters
0,CHEMBL53711,0.006,nM,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.221848749616356,343.04325754800004,1,5,3.5969000000000015,True,46,1
1,CHEMBL35820,0.006,nM,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,11.221848749616356,387.05823891599994,1,5,4.933300000000004,True,1,1
2,CHEMBL66031,0.008,nM,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,11.096910013008056,339.01195742000004,2,4,4.012200000000001,True,2,1
3,CHEMBL53753,0.008,nM,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.096910013008056,329.02760748400004,2,5,3.572600000000002,True,2,1
4,CHEMBL176582,0.01,nM,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,11.0,353.027607484,1,5,4.0226000000000015,True,2,1
5,CHEMBL174426,0.025,nM,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,10.602059991327963,353.02760748400004,1,5,4.022600000000002,True,2,1
6,CHEMBL29197,0.025,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,10.602059991327963,359.02693878799994,1,5,4.153100000000003,True,1,1
7,CHEMBL327307,0.072,nM,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,10.142667503568731,436.937450856,1,5,4.915600000000003,True,1,1
8,CHEMBL53428,0.09,nM,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,10.045757490560675,343.04325754800004,1,5,3.5969000000000015,True,20,1
9,CHEMBL4760328,0.1,nM,CCOc1ccccc1-c1cc2c(N[C@H](CCO)c3ccccc3)ncnc2[nH]1,10.0,388.1899260080001,3,5,4.559200000000003,True,13,28
10,CHEMBL5173517,0.1,nM,CC(C)c1cnc(N2CC(CS(C)(=O)=O)C2)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,10.0,543.2427871680001,2,10,3.0668000000000015,True,62,16
11,CHEMBL4784258,0.1,nM,COc1cc(CN(C)CCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,10.0,474.27432432800003,3,7,3.772400000000002,True,0,28
12,CHEMBL941,0.11,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,9.958607314841775,493.2590086120001,2,7,4.590320000000004,True,5,200
13,CHEMBL54400,0.13,nM,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.886056647693163,329.02760748400004,2,5,3.5726000000000013,True,2,1
14,CHEMBL51853,0.13,nM,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.886056647693163,315.01195742000004,2,5,3.113100000000001,True,2,1
15,CHEMBL5192793,0.15,nM,COc1ccc(-c2cc(=O)cc(-c3ccc(OC)cc3)o2)cc1,9.823908740944319,308.104858992,0,4,3.9910000000000023,True,125,637
16,CHEMBL418967,0.17,nM,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,9.769551078621726,415.08953904399993,1,5,5.713500000000004,True,0,1
17,CHEMBL592617,0.17,nM,N#CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.769551078621726,381.022522104,2,5,3.988080000000002,True,15,7
18,CHEMBL166093,0.18,nM,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.744727494896694,389.0487368520001,4,7,2.2959999999999994,True,33,20
19,CHEMBL165864,0.19,nM,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.721246399047171,359.0381721680001,3,6,2.9351000000000003,True,9,20
20,CHEMBL166154,0.19,nM,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,9.721246399047171,285.078123064,2,5,3.4635000000000007,True,2,172
21,CHEMBL5206444,0.2,nM,CC(C)c1ccc(N2CC(CS(C)(=O)=O)C2)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,9.698970004336019,542.2475382000001,2,9,3.671800000000002,True,62,16
22,CHEMBL5200991,0.2,nM,CC(C)c1cnc(N2C[C@H](CS(C)(=O)=O)[C@H]2C)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,9.698970004336019,557.2584372320001,2,10,3.455300000000003,True,62,16
23,CHEMBL4175024,0.2,nM,OCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1,9.698970004336019,360.15862588000005,4,5,3.2627000000000006,True,13,28
24,CHEMBL4164805,0.2,nM,COc1cc(CO)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.698970004336019,390.1691905640001,4,6,3.2713,True,3,28
25,CHEMBL4776396,0.2,nM,CCOc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.698970004336019,374.1742759440001,3,5,4.169100000000002,True,13,28
